Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 4 7 8 9,0.0342682,18.0574,Yes,N/A,N/A,3,4,1 4,N/A,7,8,9,3 7,3 8,3 9
1 3 4 6,0.135224,5.41967,Yes,N/A,N/A,3,4,1 4,6,3 4,1 3 4,3 6,4 6,1 4 6,N/A
1 3 4 6 9,0.0597779,11.3321,Yes,N/A,N/A,3,4,1 4,6,3 4,1 3 4,9,4 6,1 4 6,3 9
1 3 4 6 8,0.0879915,9.13722,Yes,N/A,N/A,3,4,1 4,6,3 4,8,3 6,4 6,3 8,4 8
1 3 4 6 8 9,0.0442407,14.9507,Yes,N/A,N/A,3,4,1 4,6,3 4,8,9,4 6,3 8,3 9
3 4 6,0.0779321,7.95087,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,3 6,4 6,N/A,N/A
3 4 6 9,0.0298783,15.293,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,9,4 6,N/A,3 9
1 3 4 6 7,0.102688,7.99244,Yes,N/A,N/A,3,4,1 4,6,7,1 7,3 6,3 7,4 7,1 4 7
1 3 4 6 7 9,0.0499197,13.7096,Yes,N/A,N/A,3,4,1 4,6,7,1 7,9,3 7,4 7,3 9
1 3 4 6 7 8,0.071437,11.5776,Yes,N/A,N/A,3,4,1 4,6,7,8,3 6,3 7,3 8,4 8
1 3 4 6 7 8 9,0.0396881,16.8902,Yes,N/A,N/A,3,4,1 4,6,7,8,9,3 7,3 8,3 9
3 4 8 9,0.0236197,17.2453,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,9,N/A,3 8,3 9
3 4 7 9,0.0234053,16.7016,Yes,N/A,N/A,3,4,N/A,N/A,7,N/A,9,3 7,4 7,3 9
3 4 7 8,0.0355367,15.1834,Yes,N/A,N/A,3,4,N/A,N/A,7,8,N/A,3 7,3 8,4 8
3 4 7 8 9,0.0170086,21.0513,Yes,N/A,N/A,3,4,N/A,N/A,7,8,9,3 7,3 8,3 9
1 3 4 5,0.130401,5.04432,Yes,N/A,N/A,3,4,5,1 5,3 4,3 5,4 5,1 4 5,N/A,3 4 5
3 4 5,0.103395,6.72068,Yes,N/A,N/A,3,4,5,N/A,3 4,3 5,4 5,N/A,N/A,3 4 5
