Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
5 6 8,0.0282922,15.0204,Yes,N/A,N/A,N/A,N/A,5,6,N/A,8,N/A,N/A,5 6,N/A
5 6 7,0.0416667,13.4784,Yes,N/A,N/A,N/A,N/A,5,6,7,N/A,N/A,N/A,5 6,5 7
1 5 6 7 8,0.022679,18.1503,Yes,N/A,N/A,N/A,N/A,5,1 5,1 6,1 7,1 8,N/A,5 6,1 5 6
5 6 7 8,0.0195045,18.8558,Yes,N/A,N/A,N/A,N/A,5,6,7,8,N/A,N/A,5 6,5 7
4,0.0833333,3.66667,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4 8,0.0509259,10.0833,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,4 8
4 7,0.0833333,8.73611,Yes,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
4 7 8,0.0362654,14.4977,Yes,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
4 6,0.106481,7.88426,Yes,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
4 6 8,0.0405093,13.6952,Yes,N/A,N/A,N/A,4,N/A,6,N/A,8,N/A,4 6,N/A,4 8
4 6 7,0.054784,12.2199,Yes,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
4 6 7 8,0.0282922,17.0184,Yes,N/A,N/A,N/A,4,N/A,6,7,8,N/A,4 6,4 7,4 8
4 5,0.12963,7.02778,Yes,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4 5,N/A,N/A,N/A
4 5 8,0.0447531,12.8853,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,4 5,N/A,N/A,4 8
4 5 7,0.0632716,11.0602,Yes,N/A,N/A,N/A,4,5,N/A,7,N/A,4 5,N/A,4 7,5 7
4 5 7 8,0.0304784,16.2251,Yes,N/A,N/A,N/A,4,5,N/A,7,8,4 5,N/A,4 7,5 7
4 5 6,0.066358,9.98611,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,4 5,4 6,5 6,N/A
4 5 6 8,0.0343793,14.7427,Yes,N/A,N/A,N/A,4,5,6,N/A,8,4 5,4 6,5 6,4 8
1 4 5 6 7 8,0.0246951,17.8105,Yes,N/A,N/A,N/A,4,1 4,1 5,1 6,1 7,4 5,1 4 5,1 4 6,1 5 6
4 5 6 7,0.0475394,13.2737,Yes,N/A,N/A,N/A,4,5,6,7,N/A,4 5,4 6,5 6,5 7
4 5 6 7 8,0.028547,16.8965,Yes,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,5 6,5 7
3,0.0555556,2.83333,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 8,0.0709877,9.02623,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
3 7,0.101852,7.74074,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
3 7 8,0.0493827,13.1651,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
3 6,0.126543,6.93056,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
3 6 8,0.0527263,12.4234,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
3 6 7,0.0679012,11.0144,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
3 6 7 8,0.0370799,15.3157,Yes,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
3 5 8,0.0350652,13.0473,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,3 8,N/A
3 5 7 8,0.0271919,16.2626,Yes,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,3 8,5 7
3 5 6 8,0.0250319,15.9578,Yes,N/A,N/A,3,N/A,5,6,N/A,3 5,3 6,N/A,5 6,N/A
3 5 6 7 8,0.0249692,17.3211,Yes,N/A,N/A,3,N/A,5,6,7,3 5,3 6,3 7,5 6,5 7
3 4 7,0.0509259,10.3434,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,N/A,3 7,4 7,N/A
3 4 7 8,0.0319359,15.5139,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,N/A,3 7,4 7,4 8
3 4 6 7,0.0482682,12.9284,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,3 6,4 6,4 7,N/A
3 4 6 7 8,0.0319764,16.571,Yes,N/A,N/A,3,4,N/A,6,3 4,8,3 6,4 6,4 7,4 8
1 3 4 5 6 7 8,0.0259377,17.7367,Yes,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 4 6,3 4 5
3 4 5 7 8,0.028853,16.7463,Yes,N/A,N/A,3,4,5,N/A,3 4,3 5,4 5,3 7,4 7,3 4 5
3 4 5 6 7 8,0.0271033,17.3587,Yes,N/A,N/A,3,4,5,6,3 4,3 5,4 5,4 6,5 6,3 4 5
2,0.0277778,1.94444,Yes,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2 8,0.0910494,7.96142,Yes,N/A,2,N/A,N/A,N/A,N/A,N/A,8,N/A,2 8,N/A,N/A
