Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
6 9 10 11 12,0.00023815,42.9214,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,11,12
1 6 7,0.0740741,10.1157,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,N/A
1 6 7 12,0.00617284,21.4748,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,12
6 7,0.0462963,10.6991,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
1 6 7 11,0.0162037,19.3898,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,11,1 11
1 6 7 11 12,0.00158608,31.1517,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,11,12
6 7 12,0.00385802,22.1762,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,12
1 6 7 10,0.0262346,17.4664,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,10,1 10,N/A
1 6 7 10 12,0.00291495,28.6107,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,10,1 10,12
6 7 10,0.0115741,19.3557,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,10,N/A,N/A
1 6 7 10 11,0.00625857,27.2688,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,10,11,1 11
1 6 7 10 11 12,0.00077994,38.9511,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,10,11,12
6 7 11,0.00771605,20.7284,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,11,N/A
6 7 11 12,0.000857339,32.1344,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,11,12
1 6 7 9,0.0362654,15.7046,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,N/A,N/A
1 6 7 9 12,0.00402949,26.7787,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,N/A,12
6 7 9,0.0154321,18.0581,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,N/A,N/A,N/A
1 6 7 9 11,0.00977366,24.3043,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,11,1 11
1 6 7 9 11 12,0.00123838,35.8491,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,11,12
6 7 9 12,0.00171468,29.4039,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,N/A,N/A,12
1 6 7 9 10,0.0135888,23.5092,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,10,1 10,N/A
1 6 7 9 10 12,0.00188734,34.3744,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,10,1 10,12
6 7 9 10,0.00514403,26.3531,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,10,N/A,N/A
1 6 7 9 10 11,0.00401282,32.881,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,10,11,1 11
1 6 7 9 10 11 12,0.000609266,44.4103,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,10,11,12
6 7 10 12,0.00128601,30.7303,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,10,N/A,12
6 7 10 11,0.00257202,29.188,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,10,11,N/A
6 7 10 11 12,0.000357225,40.4704,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,10,11,12
1 6 7 8,0.0382587,15.6989,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,N/A
1 6 7 8 12,0.00425097,26.8365,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,12
6 7 8,0.0192901,16.8356,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A
1 6 7 8 11,0.0106453,24.3937,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,11,1 11
1 6 7 8 11 12,0.00132967,36.037,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,11,12
6 7 8 12,0.00214335,28.1553,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,12
1 6 7 8 10,0.0170396,22.1426,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,10,1 10,N/A
1 6 7 8 10 12,0.00236661,32.9629,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,10,1 10,12
6 7 8 10,0.00643004,25.0605,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,10,N/A,N/A
1 6 7 8 10 11,0.00503091,31.448,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,10,11,1 11
1 6 7 8 10 11 12,0.000764064,42.9589,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,10,11,12
6 7 8 11,0.00428669,26.5636,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,11,N/A
6 7 8 11 12,0.000595374,37.7789,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,11,12
1 6 7 8 9,0.0200046,21.9544,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,9,1 9,N/A,N/A
1 6 7 8 9 12,0.00277841,32.8247,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,9,1 9,N/A,12
6 7 8 9,0.00857339,23.646,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,9,N/A,N/A,N/A
