Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 10 11 12 13,0.00244196,44.4821,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12,13,N/A,N/A,N/A,N/A,N/A
1 7,0.108796,6.72454,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,0.0694444,6.51389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 7 13,0.0307999,17.063,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 7 12,0.0386874,15.5679,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
7 12,0.0160751,16.9723,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 7 12 13,0.0126636,26.5039,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12,13,1 13,N/A,N/A,N/A,N/A
7 13,0.0135031,18.115,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
1 7 11,0.0440458,14.3454,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11,N/A,N/A,N/A,N/A,N/A,7 11
7 11,0.0219907,15.8993,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,7 11
1 7 11 13,0.0170316,23.6463,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11,13,1 13,N/A,N/A,N/A,7 11
1 7 11 12,0.0183774,23.68,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12,1 12,N/A,N/A,N/A,N/A,7 11
7 11 12,0.00709984,25.9486,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,7 11
1 7 11 12 13,0.00782376,33.8937,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12,13,1 13,N/A,N/A,N/A,7 11
7 12 13,0.00468857,28.242,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 7 10,0.0515046,13.2639,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A,N/A,N/A,N/A,N/A,7 10,1 7 10
7 10,0.03125,14.8802,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,7 10,N/A
1 7 10 13,0.0198929,22.5194,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A,13,1 13,N/A,N/A,7 10,1 7 10
1 7 10 12,0.0248441,20.8146,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12,1 12,N/A,N/A,N/A,7 10,1 7 10
7 10 12,0.00924318,24.9154,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,7 10,N/A
1 7 10 12 13,0.0102086,30.5818,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12,13,1 13,N/A,N/A,7 10,1 7 10
7 10 13,0.00776427,26.1106,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,7 10,N/A
1 7 10 11,0.0246271,21.3096,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11,N/A,N/A,N/A,N/A,7 10,7 11
7 10 11,0.01114,23.8119,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,7 10,7 11
1 7 10 11 13,0.01185,29.3889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11,13,1 13,N/A,N/A,7 10,7 11
1 7 10 11 12,0.0127346,29.6647,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,12,1 12,N/A,N/A,N/A,7 10,7 11
7 10 11 12,0.00462159,33.2671,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,12,N/A,N/A,N/A,N/A,7 10,7 11
1 7 10 11 12 13,0.00655492,38.7358,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,12,13,1 13,N/A,N/A,7 10,7 11
