Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 7 8 10,0.0237269,18.8333,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,1 10,N/A
1 7 8 10 12,0.00263632,30.0833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,1 10,12
7 8 11,0.00771605,22.1944,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,11,N/A
7 8 11 12,0.000857339,33.5278,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,11,12
7 8 10,0.0115741,20.7222,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,N/A,N/A
1 7 8 10 11,0.0057013,28.5,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,11,1 11
7 8 10 12,0.00128601,32.1667,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,N/A,12
1 7 8 10 11 12,0.000702542,40.3889,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,11,12
7 9 10 11,0.00205761,31.8333,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,N/A
7 9 10 11 12,0.00028578,43.0833,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,12
1 7 8 9,0.026749,18.5833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,N/A
1 7 8 9 12,0.00297211,29.8056,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,12
7 8 9,0.0154321,19.4722,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,N/A
1 7 8 9 11,0.00765889,27.1944,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,11,1 11
7 8 9 12,0.00171468,30.5833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,12
1 7 8 9 11 12,0.00094466,38.9444,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,11,12
7 8 10 11,0.00257202,30.4444,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,11,N/A
7 8 10 11 12,0.000357225,41.8611,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,11,12
1 7 8 9 10,0.0104167,26.5556,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,N/A
1 7 8 9 10 12,0.00144676,37.6944,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,12
7 8 9 11,0.00342936,29.1667,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,11,N/A
7 8 9 11 12,0.000476299,40.1944,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,11,12
7 8 9 10,0.00514403,27.5556,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,N/A,N/A
1 7 8 9 10 11,0.00313167,36.2222,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,1 11
7 8 9 10 12,0.000714449,38.7778,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,N/A,12
1 7 8 9 10 11 12,0.000462407,47.8611,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,12
1 6,0.189815,4.86111,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
