Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   |   | 4 |   |   | 7 | 8 | 9 |   |,0.0133745,21.2784,N/A,N/A,N/A,4,N/A,N/A,7,8,9,N/A,4 7,4 8
| 1 |   |   | 4 |   |   | 7 | 8 | 9 | 10 |,0.0108418,26.5179,N/A,N/A,N/A,4,1 4,N/A,7,8,9,10,1 10,4 8
|   |   |   | 4 |   |   |   | 8 |   | 10 |,0.0104167,18.8511,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,10,N/A,4 8
|   |   |   | 4 |   |   |   | 8 | 9 | 10 |,0.00411523,26.0328,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,10,N/A,4 8
| 1 |   |   | 4 |   | 6 |   |   |   |   |,0.131944,6.21065,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,4 6,1 4 6,N/A
|   |   |   | 4 |   | 6 |   |   |   |   |,0.106481,7.88426,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
| 1 |   |   | 4 |   | 6 |   |   |   | 10 |,0.0298997,15.0334,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,10,1 10,N/A
| 1 |   |   | 4 |   | 6 |   |   | 9 |   |,0.0474537,12.6189,N/A,N/A,N/A,4,1 4,6,1 6,N/A,9,1 9,1 4 6,N/A
|   |   |   | 4 |   | 6 |   |   | 9 |   |,0.0262346,15.3076,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,4 6,N/A,N/A
| 1 |   |   | 4 |   | 6 |   |   | 9 | 10 |,0.013546,21.2579,N/A,N/A,N/A,4,1 4,6,1 6,N/A,9,10,1 10,N/A
|   |   |   | 4 |   | 6 |   |   |   | 10 |,0.0127315,17.4938,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,10,N/A,N/A
| 1 |   |   | 4 |   | 6 |   | 8 |   |   |,0.0821116,9.5188,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,4 6,1 4 6,4 8
|   |   |   | 4 |   | 6 |   | 8 |   |   |,0.0405093,13.6952,N/A,N/A,N/A,4,N/A,6,N/A,8,N/A,4 6,N/A,4 8
| 1 |   |   | 4 |   | 6 |   | 8 |   | 10 |,0.0239733,17.5315,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,10,1 10,4 8
| 1 |   |   | 4 |   | 6 |   | 8 | 9 |   |,0.032686,16.1297,N/A,N/A,N/A,4,1 4,6,1 6,8,9,1 9,1 4 6,4 8
|   |   |   | 4 |   | 6 |   | 8 | 9 |   |,0.0145748,20.5173,N/A,N/A,N/A,4,N/A,6,N/A,8,9,4 6,N/A,4 8
| 1 |   |   | 4 |   | 6 |   | 8 | 9 | 10 |,0.01207,23.9374,N/A,N/A,N/A,4,1 4,6,1 6,8,9,10,1 10,4 8
|   |   |   | 4 |   | 6 |   |   | 9 | 10 |,0.00488683,24.7764,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,10,N/A,N/A
| 1 |   |   | 4 |   | 6 | 7 |   |   |   |,0.090535,9.57883,N/A,N/A,N/A,4,1 4,6,7,1 7,N/A,4 6,4 7,1 4 7
|   |   |   | 4 |   | 6 | 7 |   |   |   |,0.054784,12.2199,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
| 1 |   |   | 4 |   | 6 | 7 |   |   | 10 |,0.0255273,17.9802,N/A,N/A,N/A,4,1 4,6,7,1 7,N/A,10,1 10,1 4 7
| 1 |   |   | 4 |   | 6 | 7 |   | 9 |   |,0.0417953,14.6525,N/A,N/A,N/A,4,1 4,6,7,1 7,9,1 9,4 7,1 4 7
|   |   |   | 4 |   | 6 | 7 |   | 9 |   |,0.0195473,18.8903,N/A,N/A,N/A,4,N/A,6,7,N/A,9,4 6,4 7,N/A
